test_id,trial_curr,trial_total,rep,reps,feature_prior_strength,steps,steps_max,pbp,pres_mode,perception_count,retrieval_count,sol,solved,timestamp
_0a5923ea9342ff54,1,240,1,100,0.1,133,2500,pbp02,interleaved-sim-sim,130,118,"Only in the right scenes, exists: ( objects that are 2)",1,1438206172495
_0a5923ea9342ff54,1,240,2,100,0.1,116,2500,pbp02,interleaved-sim-sim,85,165,"Only in the left scenes, exists: ( objects that are 1)",1,1438206172496
_0a5923ea9342ff54,1,240,4,100,0.1,447,2500,pbp02,interleaved-sim-sim,343,1367,"Only in the left scenes, exists: ( objects that are 1)",1,1438206172497
_0a5923ea9342ff54,1,240,5,100,0.1,468,2500,pbp02,interleaved-sim-sim,401,481,"Only in the left scenes, exists: ( objects that are 1)",1,1438206172498
_0a5923ea9342ff54,1,240,3,100,0.1,146,2500,pbp02,interleaved-sim-sim,149,196,"Only in the left scenes, exists: ( objects that are 1)",1,1438206172498
_0a5923ea9342ff54,1,240,6,100,0.1,369,2500,pbp02,interleaved-sim-sim,325,390,"Only in the right scenes, exists: ( objects that are 2)",1,1438206172499
_0a5923ea9342ff54,1,240,7,100,0.1,283,2500,pbp02,interleaved-sim-sim,223,307,"Only in the right scenes, exists: ( objects that are 2)",1,1438206172501
_0a5923ea9342ff54,1,240,8,100,0.1,80,2500,pbp02,interleaved-sim-sim,105,46,"Only in the left scenes, exists: ( objects that are 1)",1,1438206172502
_0a5923ea9342ff54,1,240,9,100,0.1,440,2500,pbp02,interleaved-sim-sim,431,1131,"Only in the left scenes, exists: ( objects that are 1)",1,1438206172503
_0a5923ea9342ff54,1,240,11,100,0.1,289,2500,pbp02,interleaved-sim-sim,247,858,"Only in the left scenes, exists: ( objects that are 1)",1,1438206172504
_0a5923ea9342ff54,1,240,10,100,0.1,214,2500,pbp02,interleaved-sim-sim,156,123,"Only in the left scenes, exists: ( objects that are 1)",1,1438206172504
_0a5923ea9342ff54,1,240,14,100,0.1,481,2500,pbp02,interleaved-sim-sim,450,773,"Only in the left scenes, exists: ( objects that are 1)",1,1438206172505
_0a5923ea9342ff54,1,240,12,100,0.1,555,2500,pbp02,interleaved-sim-sim,474,1009,"Only in the left scenes, exists: ( objects that are 1)",1,1438206172507
_0a5923ea9342ff54,1,240,13,100,0.1,295,2500,pbp02,interleaved-sim-sim,279,449,"Only in the right scenes, exists: ( objects that are 2)",1,1438206172508
_0a5923ea9342ff54,1,240,16,100,0.1,183,2500,pbp02,interleaved-sim-sim,126,287,"Only in the right scenes, exists: ( objects that are 2)",1,1438206172509
_0a5923ea9342ff54,1,240,15,100,0.1,178,2500,pbp02,interleaved-sim-sim,172,334,"Only in the right scenes, exists: ( objects that are 2)",1,1438206172510
_0a5923ea9342ff54,1,240,17,100,0.1,354,2500,pbp02,interleaved-sim-sim,343,472,"Only in the right scenes, exists: ( objects that are 2)",1,1438206172512
_0a5923ea9342ff54,1,240,18,100,0.1,189,2500,pbp02,interleaved-sim-sim,177,246,"Only in the left scenes, exists: ( objects that are 1)",1,1438206172513
_0a5923ea9342ff54,1,240,19,100,0.1,132,2500,pbp02,interleaved-sim-sim,126,191,"Only in the left scenes, exists: ( objects that are 1)",1,1438206172518
_0a5923ea9342ff54,1,240,20,100,0.1,119,2500,pbp02,interleaved-sim-sim,110,84,"Only in the right scenes, exists: ( objects that are 2)",1,1438206172519
_0a5923ea9342ff54,1,240,21,100,0.1,227,2500,pbp02,interleaved-sim-sim,224,362,"Only in the right scenes, exists: ( objects that are 2)",1,1438206172520
_0a5923ea9342ff54,1,240,22,100,0.1,337,2500,pbp02,interleaved-sim-sim,306,351,"Only in the right scenes, exists: ( objects that are 2)",1,1438206172522
_0a5923ea9342ff54,1,240,23,100,0.1,158,2500,pbp02,interleaved-sim-sim,152,104,"Only in the left scenes, exists: ( objects that are 1)",1,1438206172525
_0a5923ea9342ff54,1,240,24,100,0.1,246,2500,pbp02,interleaved-sim-sim,201,406,"Only in the left scenes, exists: ( objects that are 1)",1,1438206172526
_0a5923ea9342ff54,1,240,25,100,0.1,98,2500,pbp02,interleaved-sim-sim,89,45,"Only in the right scenes, exists: ( objects that are 2)",1,1438206172527
_0a5923ea9342ff54,2,240,1,100,100,264,2500,pbp02,interleaved-sim-sim,305,258,"Only in the left scenes, exists: ( objects that are 1)",1,1438206238262
_0a5923ea9342ff54,2,240,2,100,100,541,2500,pbp02,interleaved-sim-sim,558,2367,"Only in the right scenes, exists: ( objects that are 2)",1,1438206238263
_0a5923ea9342ff54,2,240,3,100,100,57,2500,pbp02,interleaved-sim-sim,60,27,"Only in the left scenes, exists: ( objects that are 1)",1,1438206238264
_0a5923ea9342ff54,2,240,4,100,100,204,2500,pbp02,interleaved-sim-sim,246,410,"Only in the right scenes, exists: ( objects that are 2)",1,1438206238265
_0a5923ea9342ff54,2,240,5,100,100,71,2500,pbp02,interleaved-sim-sim,60,98,"Only in the left scenes, exists: ( objects that are 1)",1,1438206238265
_0a5923ea9342ff54,2,240,6,100,100,95,2500,pbp02,interleaved-sim-sim,119,51,"Only in the left scenes, exists: ( objects that are 1)",1,1438206238266
_0a5923ea9342ff54,2,240,7,100,100,229,2500,pbp02,interleaved-sim-sim,216,528,"Only in the left scenes, exists: ( objects that are 1)",1,1438206238280
_0a5923ea9342ff54,2,240,8,100,100,374,2500,pbp02,interleaved-sim-sim,360,1309,"Only in the right scenes, exists: ( objects that are 2)",1,1438206238281
_0a5923ea9342ff54,2,240,9,100,100,349,2500,pbp02,interleaved-sim-sim,363,423,"Only in the right scenes, exists: ( objects that are 2)",1,1438206238282
_0a5923ea9342ff54,2,240,10,100,100,430,2500,pbp02,interleaved-sim-sim,437,871,"Only in the right scenes, exists: ( objects that are 2)",1,1438206238282
_0a5923ea9342ff54,2,240,11,100,100,211,2500,pbp02,interleaved-sim-sim,232,319,"Only in the left scenes, all: (can-move-up objects that are 1)",1,1438206238283
_0a5923ea9342ff54,2,240,12,100,100,191,2500,pbp02,interleaved-sim-sim,172,153,"Only in the left scenes, exists: ( objects that are 1)",1,1438206238284
_0a5923ea9342ff54,2,240,13,100,100,137,2500,pbp02,interleaved-sim-sim,117,118,"Only in the right scenes, exists: ( objects that are 2)",1,1438206238286
_0a5923ea9342ff54,2,240,14,100,100,214,2500,pbp02,interleaved-sim-sim,260,225,"Only in the left scenes, exists: ( objects that are 1)",1,1438206238287
_0a5923ea9342ff54,2,240,15,100,100,156,2500,pbp02,interleaved-sim-sim,156,66,"Only in the right scenes, exists: ( objects that are 2)",1,1438206238288
_0a5923ea9342ff54,2,240,16,100,100,135,2500,pbp02,interleaved-sim-sim,110,165,"Only in the left scenes, exists: ( objects that are 1)",1,1438206238289
