test_id,trial_curr,trial_total,rep,reps,steps,steps_max,pbp,pres_mode,perception_count,retrieval_count,sol,solved,timestamp,activity->feature->hyp_base,activity->obj->hyp_base
_ecfc97f847e6ce87,1,480,13,25,222,2500,pbp02,interleaved-sim-sim,217,829,"Only in the left scenes, exists: ( objects that are 1)",true,2022-02-15T16:06:17.050Z,0.1,0.1
_ecfc97f847e6ce87,1,480,1,25,99,2500,pbp02,interleaved-sim-sim,93,49,"Only in the left scenes, exists: ( objects that are 1)",true,2022-02-15T16:06:17.057Z,0.1,0.1
_ecfc97f847e6ce87,1,480,9,25,187,2500,pbp02,interleaved-sim-sim,224,146,"Only in the right scenes, exists: ( objects that are 2)",true,2022-02-15T16:06:17.052Z,0.1,0.1
_ecfc97f847e6ce87,1,480,3,25,114,2500,pbp02,interleaved-sim-sim,91,71,"Only in the right scenes, exists: ( objects that are 2)",true,2022-02-15T16:06:17.374Z,0.1,0.1
_ecfc97f847e6ce87,1,480,24,25,173,2500,pbp02,interleaved-sim-sim,169,100,"Only in the left scenes, exists: ( objects that are 1)",true,2022-02-15T16:06:17.052Z,0.1,0.1
_ecfc97f847e6ce87,1,480,2,25,88,2500,pbp02,interleaved-sim-sim,87,109,"Only in the right scenes, exists: ( objects that are 2)",true,2022-02-15T16:06:17.375Z,0.1,0.1
_ecfc97f847e6ce87,1,480,12,25,330,2500,pbp02,interleaved-sim-sim,285,546,"Only in the left scenes, exists: ( objects that are 1)",true,2022-02-15T16:06:17.735Z,0.1,0.1
_ecfc97f847e6ce87,1,480,23,25,267,2500,pbp02,interleaved-sim-sim,267,604,"Only in the left scenes, exists: ( objects that are 1)",true,2022-02-15T16:06:17.736Z,0.1,0.1
_ecfc97f847e6ce87,1,480,25,25,40,2500,pbp02,interleaved-sim-sim,47,23,"Only in the right scenes, exists: ( objects that are 2)",true,2022-02-15T16:06:17.738Z,0.1,0.1
_ecfc97f847e6ce87,1,480,21,25,225,2500,pbp02,interleaved-sim-sim,181,293,"Only in the left scenes, exists: ( objects that are 1)",true,2022-02-15T16:06:17.054Z,0.1,0.1
_ecfc97f847e6ce87,1,480,5,25,515,2500,pbp02,interleaved-sim-sim,497,1434,"Only in the left scenes, exists: ( objects that are 1)",true,2022-02-15T16:06:17.714Z,0.1,0.1
_ecfc97f847e6ce87,1,480,11,25,215,2500,pbp02,interleaved-sim-sim,186,145,"Only in the left scenes, exists: ( objects that are 1)",true,2022-02-15T16:06:17.740Z,0.1,0.1
_ecfc97f847e6ce87,1,480,20,25,381,2500,pbp02,interleaved-sim-sim,379,1343,"Only in the right scenes, exists: ( objects that are 2)",true,2022-02-15T16:06:17.778Z,0.1,0.1
