test_id,trial_curr,trial_total,rep,reps,steps,steps_max,pbp,pres_mode,perception_count,retrieval_count,sol,solved,timestamp,activity->feature->hyp_base,activity->obj->hyp_base,activity->selector->hyp_base
_73b8b560d2b4414e,1,240,14,25,659,2500,pbp02,interleaved-sim-sim,616,3288,"Only in the right scenes, exists: ( objects that are 2)",true,2022-04-20T01:55:06.957Z,,,0.1
_73b8b560d2b4414e,1,240,17,25,832,2500,pbp02,interleaved-sim-sim,676,4495,"Only in the left scenes, all: (top-most objects that are 1)",true,2022-04-20T01:55:06.942Z,,,0.1
_73b8b560d2b4414e,1,240,21,25,451,2500,pbp02,interleaved-sim-sim,469,1375,"Only in the left scenes, all: (can-move-up objects that are 1)",true,2022-04-20T01:55:06.969Z,,,0.1
_73b8b560d2b4414e,1,240,20,25,807,2500,pbp02,interleaved-sim-sim,705,3257,"Only in the right scenes, exists: ( objects that are 2)",true,2022-04-20T01:55:06.956Z,,,0.1
_73b8b560d2b4414e,1,240,19,25,904,2500,pbp02,interleaved-sim-sim,675,6855,"Only in the right scenes, exists: ( objects that are 2)",true,2022-04-20T01:55:07.597Z,,,0.1
_73b8b560d2b4414e,1,240,7,25,772,2500,pbp02,interleaved-sim-sim,684,5115,"Only in the right scenes, exists: ( objects that are 2)",true,2022-04-20T01:55:06.954Z,,,0.1
_73b8b560d2b4414e,1,240,10,25,521,2500,pbp02,interleaved-sim-sim,461,3241,"Only in the left scenes, exists: ( objects that are 1)",true,2022-04-20T01:55:07.617Z,,,0.1
_73b8b560d2b4414e,1,240,16,25,459,2500,pbp02,interleaved-sim-sim,449,1774,"Only in the right scenes, exists: ( objects that are 2)",true,2022-04-20T01:55:07.619Z,,,0.1
_73b8b560d2b4414e,1,240,15,25,146,2500,pbp02,interleaved-sim-sim,183,126,"Only in the right scenes, exists: ( objects that are 2)",true,2022-04-20T01:55:07.622Z,,,0.1
_73b8b560d2b4414e,1,240,24,25,301,2500,pbp02,interleaved-sim-sim,350,258,"Only in the left scenes, exists: ( objects that are 1)",true,2022-04-20T01:55:07.335Z,,,0.1
