test_id,step_idx,step_count,pbp,pres_mode,rep,reps,solved,steps,perception_count,retrieval_count,sol,timestamp
_94f379d48d555d1f,,,pbp02,fullblocked-sim-sim,3,25,true,264,305,1001,"Only in the left scenes, exists: ( objects that are 1)",2022-01-18T16:01:05.252Z
_94f379d48d555d1f,,,pbp02,fullblocked-sim-sim,4,25,true,298,347,637,"Only in the right scenes, exists: ( objects that are 2)",2022-01-18T16:01:05.257Z
_94f379d48d555d1f,,,pbp02,fullblocked-sim-sim,2,25,true,186,205,300,"Only in the right scenes, exists: ( objects that are 2)",2022-01-18T16:01:05.250Z
_94f379d48d555d1f,,,pbp02,fullblocked-sim-sim,8,25,true,406,461,1306,"Only in the right scenes, exists: ( objects that are 2)",2022-01-18T16:01:05.947Z
_94f379d48d555d1f,,,pbp02,fullblocked-sim-sim,9,25,true,180,187,248,"Only in the left scenes, exists: ( objects that are 1)",2022-01-18T16:01:05.953Z
_94f379d48d555d1f,,,pbp02,fullblocked-sim-sim,1,25,true,115,125,202,"Only in the right scenes, exists: ( objects that are 2)",2022-01-18T16:01:05.242Z
_94f379d48d555d1f,,,pbp02,fullblocked-sim-sim,7,25,true,427,559,2507,"Only in the right scenes, exists: ( objects that are 2)",2022-01-18T16:01:05.674Z
_94f379d48d555d1f,,,pbp02,fullblocked-sim-sim,12,25,true,110,119,39,"Only in the left scenes, exists: ( objects that are 1)",2022-01-18T16:01:05.973Z
_94f379d48d555d1f,,,pbp02,fullblocked-sim-sim,13,25,true,277,305,732,"Only in the left scenes, exists: ( objects that are 1)",2022-01-18T16:01:05.981Z
_94f379d48d555d1f,,,pbp02,fullblocked-sim-sim,14,25,true,256,301,1050,"Only in the left scenes, exists: ( objects that are 1)",2022-01-18T16:01:05.987Z
_94f379d48d555d1f,,,pbp02,fullblocked-sim-sim,5,25,true,154,133,54,"Only in the right scenes, exists: ( objects that are 2)",2022-01-18T16:01:05.260Z
_94f379d48d555d1f,,,pbp02,fullblocked-sim-sim,6,25,true,183,283,229,"Only in the left scenes, exists: ( objects that are 1)",2022-01-18T16:01:05.262Z
_94f379d48d555d1f,,,pbp02,fullblocked-sim-sim,11,25,true,225,294,415,"Only in the left scenes, exists: ( objects that are 1)",2022-01-18T16:01:05.971Z
_94f379d48d555d1f,,,pbp02,fullblocked-sim-sim,10,25,true,189,226,368,"Only in the right scenes, exists: ( objects that are 2)",2022-01-18T16:01:05.958Z
_94f379d48d555d1f,,,pbp02,fullblocked-sim-sim,15,25,true,867,802,7150,"Only in the left scenes, exists: ( objects that are 1)",2022-01-18T16:01:05.996Z
_94f379d48d555d1f,,,pbp02,fullblocked-sim-sim,16,25,true,98,107,135,"Only in the right scenes, exists: ( objects that are 2)",2022-01-18T16:01:05.999Z
_94f379d48d555d1f,,,pbp02,fullblocked-sim-sim,17,25,true,93,111,46,"Only in the right scenes, exists: ( objects that are 2)",2022-01-18T16:01:06.004Z
_94f379d48d555d1f,,,pbp02,fullblocked-sim-sim,18,25,true,207,255,198,"Only in the left scenes, exists: ( objects that are 1)",2022-01-18T16:01:06.012Z
_94f379d48d555d1f,,,pbp02,fullblocked-sim-sim,19,25,true,161,198,117,"Only in the left scenes, exists: ( objects that are 1)",2022-01-18T16:01:06.018Z
_94f379d48d555d1f,,,pbp02,fullblocked-sim-sim,20,25,true,266,329,359,"Only in the left scenes, exists: ( objects that are 1)",2022-01-18T16:01:06.022Z
_94f379d48d555d1f,,,pbp02,fullblocked-sim-sim,21,25,true,260,269,212,"Only in the left scenes, exists: ( objects that are 1)",2022-01-18T16:01:06.025Z
_94f379d48d555d1f,,,pbp02,fullblocked-sim-sim,22,25,true,553,558,2611,"Only in the right scenes, exists: ( objects that are 2)",2022-01-18T16:01:06.032Z
_94f379d48d555d1f,,,pbp02,fullblocked-sim-sim,23,25,true,218,224,318,"Only in the right scenes, exists: ( objects that are 2)",2022-01-18T16:01:06.039Z
_94f379d48d555d1f,,,pbp02,fullblocked-sim-sim,24,25,true,119,135,125,"Only in the left scenes, exists: ( objects that are 1)",2022-01-18T16:01:06.053Z
_94f379d48d555d1f,,,pbp02,fullblocked-sim-sim,25,25,true,118,137,70,"Only in the left scenes, exists: ( objects that are 1)",2022-01-18T16:01:06.060Z
_94f379d48d555d1f,,,pbp02,fullblocked-sim-dis,2,25,true,247,327,678,"Only in the left scenes, exists: ( objects that are 1)",2022-01-18T16:01:36.600Z
_94f379d48d555d1f,,,pbp02,fullblocked-sim-dis,1,25,true,239,309,517,"Only in the left scenes, exists: ( objects that are 1)",2022-01-18T16:01:36.604Z
_94f379d48d555d1f,,,pbp02,fullblocked-sim-dis,3,25,true,202,273,208,"Only in the right scenes, exists: ( objects that are 2)",2022-01-18T16:01:36.625Z
_94f379d48d555d1f,,,pbp02,fullblocked-sim-dis,4,25,true,236,352,1009,"Only in the left scenes, exists: ( objects that are 1)",2022-01-18T16:01:36.630Z
_94f379d48d555d1f,,,pbp02,fullblocked-sim-dis,5,25,true,335,412,825,"Only in the left scenes, exists: ( objects that are 1)",2022-01-18T16:01:36.632Z
