test_id,trial_curr,trial_total,rep,reps,feature_count,steps,steps_max,pbp,pres_mode,perception_count,retrieval_count,sol,solved,timestamp
_a9893b3248d675dd,1,32,1,100,3,152,2500,pbp26,,434,780,"Only in the left scenes, exists: (circle objects that are right-of (any object) at the end)",1,1445770329272
_a9893b3248d675dd,1,32,2,100,3,143,2500,pbp26,,346,567,"Only in the left scenes, exists: (circle objects that are right-of (any object) at the end)",1,1445770329273
_a9893b3248d675dd,1,32,7,100,3,90,2500,pbp26,,502,787,"Only in the left scenes, exists: ( objects that are left-of (circle objects) at the end)",1,1445770329275
_a9893b3248d675dd,1,32,5,100,3,65,2500,pbp26,,227,227,"Only in the left scenes, exists: (circle objects that are right-of (any object) at the end)",1,1445770329273
_a9893b3248d675dd,1,32,3,100,3,79,2500,pbp26,,328,708,"Only in the left scenes, exists: ( objects that are left-of (circle objects) at the end)",1,1445770329274
_a9893b3248d675dd,1,32,4,100,3,143,2500,pbp26,,486,535,"Only in the right scenes, exists: (circle objects that are left-of (any object) at the end)",1,1445770329274
_a9893b3248d675dd,1,32,8,100,3,102,2500,pbp26,,372,732,"Only in the left scenes, exists: ( objects that are left-of (circle objects) at the end)",1,1445770329319
_a9893b3248d675dd,1,32,6,100,3,81,2500,pbp26,,265,843,"Only in the left scenes, exists: ( objects that are left-of (circle objects) at the end)",1,1445770329320
_a9893b3248d675dd,1,32,9,100,3,71,2500,pbp26,,419,707,"Only in the right scenes, exists: ( objects that are right-of (circle objects) at the end)",1,1445770329330
_a9893b3248d675dd,1,32,10,100,3,138,2500,pbp26,,280,906,"Only in the left scenes, exists: ( objects that are left-of (circle objects) at the end)",1,1445770329331
_a9893b3248d675dd,1,32,11,100,3,180,2500,pbp26,,488,621,"Only in the right scenes, exists: (circle objects that are left-of (any object) at the end)",1,1445770329331
_a9893b3248d675dd,1,32,12,100,3,165,2500,pbp26,,389,901,"Only in the right scenes, exists: ( objects that are right-of (circle objects) at the end)",1,1445770329332
_a9893b3248d675dd,1,32,13,100,3,141,2500,pbp26,,446,499,"Only in the right scenes, exists: (circle objects that are left-of (any object) at the end)",1,1445770329334
_a9893b3248d675dd,1,32,14,100,3,112,2500,pbp26,,282,349,"Only in the left scenes, exists: (circle objects that are right-of (any object) at the end)",1,1445770329334
_a9893b3248d675dd,1,32,15,100,3,85,2500,pbp26,,387,843,"Only in the right scenes, exists: ( objects that are right-of (circle objects) at the end)",1,1445770329335
_a9893b3248d675dd,1,32,16,100,3,85,2500,pbp26,,290,766,"Only in the right scenes, exists: ( objects that are right-of (circle objects) at the end)",1,1445770329335
_a9893b3248d675dd,1,32,17,100,3,99,2500,pbp26,,355,371,"Only in the left scenes, exists: (circle objects that are right-of (any object) at the end)",1,1445770329336
_a9893b3248d675dd,1,32,18,100,3,100,2500,pbp26,,419,515,"Only in the left scenes, exists: (circle objects that are right-of (any object) at the end)",1,1445770329336
_a9893b3248d675dd,1,32,19,100,3,79,2500,pbp26,,420,827,"Only in the right scenes, exists: ( objects that are right-of (circle objects) at the end)",1,1445770329338
_a9893b3248d675dd,1,32,20,100,3,146,2500,pbp26,,357,380,"Only in the right scenes, exists: (circle objects that are left-of (any object) at the end)",1,1445770329339
_a9893b3248d675dd,1,32,21,100,3,141,2500,pbp26,,390,907,"Only in the left scenes, exists: ( objects that are left-of (circle objects) at the end)",1,1445770329339
_a9893b3248d675dd,1,32,22,100,3,82,2500,pbp26,,460,890,"Only in the left scenes, exists: ( objects that are left-of (circle objects) at the end)",1,1445770329340
_a9893b3248d675dd,1,32,23,100,3,54,2500,pbp26,,230,241,"Only in the right scenes, exists: (circle objects that are left-of (any object) at the end)",1,1445770329341
_a9893b3248d675dd,1,32,24,100,3,93,2500,pbp26,,345,838,"Only in the left scenes, exists: ( objects that are left-of (circle objects) at the end)",1,1445770329341
_a9893b3248d675dd,1,32,25,100,3,84,2500,pbp26,,404,528,"Only in the right scenes, exists: (circle objects that are left-of (any object) at the end)",1,1445770329362
_a9893b3248d675dd,2,32,1,100,4,107,2500,pbp26,,185,710,"Only in the right scenes, exists: ( objects that are right-of (circle objects) at the end)",1,1445770380264
_a9893b3248d675dd,2,32,2,100,4,143,2500,pbp26,,503,1186,"Only in the left scenes, exists: ( objects that are left-of (circle objects) at the end)",1,1445770380265
_a9893b3248d675dd,2,32,3,100,4,133,2500,pbp26,,449,1129,"Only in the left scenes, exists: ( objects that are left-of (circle objects) at the end)",1,1445770380265
_a9893b3248d675dd,2,32,4,100,4,94,2500,pbp26,,206,227,"Only in the right scenes, exists: (circle objects that are left-of (any object) at the end)",1,1445770380266
_a9893b3248d675dd,2,32,5,100,4,38,2500,pbp26,,250,707,"Only in the right scenes, exists: ( objects that are right-of (circle objects) at the end)",1,1445770380266
_a9893b3248d675dd,2,32,6,100,4,137,2500,pbp26,,350,412,"Only in the left scenes, exists: (circle objects that are right-of (any object) at the end)",1,1445770380267
_a9893b3248d675dd,2,32,7,100,4,95,2500,pbp26,,259,325,"Only in the right scenes, exists: (circle objects that are left-of (any object) at the end)",1,1445770380270
_a9893b3248d675dd,2,32,8,100,4,222,2500,pbp26,,942,1137,"Only in the left scenes, exists: (circle objects that are right-of (any object) at the end)",1,1445770380270
_a9893b3248d675dd,2,32,9,100,4,68,2500,pbp26,,311,343,"Only in the right scenes, exists: (circle objects that are left-of (any object) at the end)",1,1445770380271
_a9893b3248d675dd,2,32,10,100,4,189,2500,pbp26,,810,2362,"Only in the right scenes, exists: ( objects that are right-of (circle objects) at the end)",1,1445770380272
_a9893b3248d675dd,2,32,11,100,4,123,2500,pbp26,,308,817,"Only in the left scenes, exists: ( objects that are left-of (circle objects) at the end)",1,1445770380272
_a9893b3248d675dd,2,32,12,100,4,51,2500,pbp26,,189,743,"Only in the left scenes, exists: ( objects that are left-of (circle objects) at the end)",1,1445770380272
_a9893b3248d675dd,2,32,13,100,4,117,2500,pbp26,,282,408,"Only in the right scenes, exists: (circle objects that are left-of (any object) at the end)",1,1445770380275
_a9893b3248d675dd,2,32,14,100,4,118,2500,pbp26,,306,762,"Only in the left scenes, exists: ( objects that are left-of (circle objects) at the end)",1,1445770380276
_a9893b3248d675dd,2,32,18,100,4,58,2500,pbp26,,297,189,"Only in the right scenes, exists: (circle objects that are left-of (any object) at the end)",1,1445770380276
_a9893b3248d675dd,2,32,15,100,4,96,2500,pbp26,,334,335,"Only in the left scenes, exists: (circle objects that are right-of (any object) at the end)",1,1445770380277
_a9893b3248d675dd,2,32,16,100,4,99,2500,pbp26,,537,931,"Only in the right scenes, exists: ( objects that are right-of (circle objects) at the end)",1,1445770380278
_a9893b3248d675dd,2,32,17,100,4,46,2500,pbp26,,173,191,"Only in the right scenes, exists: (circle objects that are left-of (any object) at the end)",1,1445770380278
_a9893b3248d675dd,2,32,19,100,4,181,2500,pbp26,,551,1143,"Only in the right scenes, exists: ( objects that are right-of (circle objects) at the end)",1,1445770380280
_a9893b3248d675dd,2,32,21,100,4,86,2500,pbp26,,226,311,"Only in the right scenes, exists: (circle objects that are left-of (any object) at the end)",1,1445770380281
_a9893b3248d675dd,2,32,22,100,4,277,2500,pbp26,,903,1236,"Only in the right scenes, exists: (circle objects that are left-of (any object) at the end)",1,1445770380282
_a9893b3248d675dd,2,32,23,100,4,133,2500,pbp26,,453,631,"Only in the left scenes, exists: (circle objects that are right-of (any object) at the end)",1,1445770380283
_a9893b3248d675dd,2,32,20,100,4,60,2500,pbp26,,247,711,"Only in the right scenes, exists: ( objects that are right-of (circle objects) at the end)",1,1445770380283
_a9893b3248d675dd,2,32,24,100,4,84,2500,pbp26,,253,359,"Only in the right scenes, exists: (circle objects that are left-of (any object) at the end)",1,1445770380284
_a9893b3248d675dd,2,32,25,100,4,139,2500,pbp26,,383,380,"Only in the right scenes, exists: (circle objects that are left-of (any object) at the end)",1,1445770380286
_a9893b3248d675dd,3,32,1,100,5,152,2500,pbp26,,268,306,"Only in the left scenes, exists: (circle objects that are right-of (any object) at the end)",1,1445770445008
_a9893b3248d675dd,3,32,2,100,5,113,2500,pbp26,,343,819,"Only in the right scenes, exists: ( objects that are right-of (circle objects) at the end)",1,1445770445008
_a9893b3248d675dd,3,32,3,100,5,254,2500,pbp26,,618,1796,"Only in the left scenes, exists: ( objects that are left-of (circle objects) at the end)",1,1445770445009
_a9893b3248d675dd,3,32,4,100,5,319,2500,pbp26,,888,2649,"Only in the right scenes, exists: ( objects that are right-of (circle objects) at the end)",1,1445770445009
_a9893b3248d675dd,3,32,5,100,5,248,2500,pbp26,,724,2046,"Only in the left scenes, exists: ( objects that are left-of (circle objects) at the end)",1,1445770445010
_a9893b3248d675dd,3,32,6,100,5,87,2500,pbp26,,444,853,"Only in the left scenes, exists: ( objects that are left-of (circle objects) at the end)",1,1445770445010
_a9893b3248d675dd,3,32,12,100,5,213,2500,pbp26,,609,1273,"Only in the left scenes, exists: ( objects that are left-of (circle objects) at the end)",1,1445770445018
_a9893b3248d675dd,3,32,10,100,5,59,2500,pbp26,,217,200,"Only in the right scenes, exists: (circle objects that are left-of (any object) at the end)",1,1445770445019
_a9893b3248d675dd,3,32,11,100,5,81,2500,pbp26,,270,786,"Only in the right scenes, exists: ( objects that are right-of (circle objects) at the end)",1,1445770445020
_a9893b3248d675dd,3,32,7,100,5,162,2500,pbp26,,412,932,"Only in the left scenes, exists: (circle objects that are right-of (any object) at the end)",1,1445770445021
_a9893b3248d675dd,3,32,8,100,5,94,2500,pbp26,,330,823,"Only in the left scenes, exists: ( objects that are left-of (circle objects) at the end)",1,1445770445021
