test_id,trial_curr,trial_total,rep,reps,feature_count,steps,steps_max,pbp,pres_mode,perception_count,retrieval_count,sol,solved,timestamp
_434118f673baeacb,1,16,1,100,3,113,2500,pbp26,,375,951,"Only in the left scenes, exists: ( objects that are left-of (circle objects) at the end)",1,1445718730274
_434118f673baeacb,1,16,2,100,3,126,2500,pbp26,,278,318,"Only in the left scenes, exists: (circle objects that are right-of (any object) at the end)",1,1445718730275
_434118f673baeacb,1,16,3,100,3,92,2500,pbp26,,221,362,"Only in the left scenes, exists: (circle objects that are right-of (any object) at the end)",1,1445718730276
_434118f673baeacb,1,16,6,100,3,124,2500,pbp26,,267,409,"Only in the right scenes, exists: (circle objects that are left-of (any object) at the end)",1,1445718730276
_434118f673baeacb,1,16,4,100,3,203,2500,pbp26,,518,344,"Only in the left scenes, exists: (circle objects that are right-of (any object) at the end)",1,1445718730277
_434118f673baeacb,1,16,5,100,3,67,2500,pbp26,,329,246,"Only in the right scenes, exists: (circle objects that are left-of (any object) at the end)",1,1445718730278
_434118f673baeacb,1,16,7,100,3,137,2500,pbp26,,190,227,"Only in the left scenes, exists: (circle objects that are right-of (any object) at the end)",1,1445718730282
_434118f673baeacb,1,16,8,100,3,117,2500,pbp26,,325,356,"Only in the right scenes, exists: (circle objects that are left-of (any object) at the end)",1,1445718730283
_434118f673baeacb,1,16,9,100,3,113,2500,pbp26,,335,316,"Only in the right scenes, exists: (circle objects that are left-of (any object) at the end)",1,1445718730285
_434118f673baeacb,1,16,10,100,3,133,2500,pbp26,,510,950,"Only in the left scenes, exists: ( objects that are left-of (circle objects) at the end)",1,1445718730289
_434118f673baeacb,1,16,11,100,3,48,2500,pbp26,,178,170,"Only in the left scenes, exists: (circle objects that are right-of (any object) at the end)",1,1445718730290
_434118f673baeacb,1,16,12,100,3,93,2500,pbp26,,392,301,"Only in the right scenes, exists: (circle objects that are left-of (any object) at the end)",1,1445718730290
_434118f673baeacb,1,16,13,100,3,127,2500,pbp26,,352,352,"Only in the left scenes, exists: (circle objects that are right-of (any object) at the end)",1,1445718730291
_434118f673baeacb,1,16,14,100,3,94,2500,pbp26,,293,324,"Only in the left scenes, exists: (circle objects that are right-of (any object) at the end)",1,1445718730292
_434118f673baeacb,1,16,15,100,3,163,2500,pbp26,,516,570,"Only in the left scenes, exists: (circle objects that are right-of (any object) at the end)",1,1445718730293
_434118f673baeacb,1,16,16,100,3,69,2500,pbp26,,229,786,"Only in the left scenes, exists: ( objects that are left-of (circle objects) at the end)",1,1445718730297
_434118f673baeacb,1,16,17,100,3,157,2500,pbp26,,522,467,"Only in the right scenes, exists: (circle objects that are left-of (any object) at the end)",1,1445718730297
_434118f673baeacb,1,16,18,100,3,124,2500,pbp26,,356,887,"Only in the right scenes, exists: ( objects that are right-of (circle objects) at the end)",1,1445718730298
_434118f673baeacb,1,16,19,100,3,69,2500,pbp26,,374,829,"Only in the right scenes, exists: ( objects that are right-of (circle objects) at the end)",1,1445718730299
_434118f673baeacb,1,16,20,100,3,129,2500,pbp26,,286,948,"Only in the left scenes, exists: ( objects that are left-of (circle objects) at the end)",1,1445718730301
