test_id,trial_curr,trial_total,rep,reps,steps,steps_max,pbp,pres_mode,perception_count,retrieval_count,sol,solved,timestamp
_28285661f1e40490,1,60,2,100,125,2500,pbp02,fullblocked-sim-sim,111,105,"Only in the right scenes, exists: ( objects that are 2)",1,1449519833254
_28285661f1e40490,1,60,1,100,375,2500,pbp02,fullblocked-sim-sim,487,731,"Only in the left scenes, exists: ( objects that are 1)",1,1449519833257
_28285661f1e40490,1,60,4,100,360,2500,pbp02,fullblocked-sim-sim,364,977,"Only in the left scenes, exists: ( objects that are 1)",1,1449519833259
_28285661f1e40490,1,60,3,100,211,2500,pbp02,fullblocked-sim-sim,248,384,"Only in the left scenes, exists: ( objects that are 1)",1,1449519833260
_28285661f1e40490,1,60,5,100,174,2500,pbp02,fullblocked-sim-sim,208,367,"Only in the right scenes, exists: ( objects that are 2)",1,1449519833261
_28285661f1e40490,1,60,6,100,301,2500,pbp02,fullblocked-sim-sim,453,1172,"Only in the left scenes, exists: ( objects that are 1)",1,1449519833262
_28285661f1e40490,1,60,7,100,238,2500,pbp02,fullblocked-sim-sim,297,221,"Only in the left scenes, exists: ( objects that are 1)",1,1449519833266
_28285661f1e40490,1,60,8,100,298,2500,pbp02,fullblocked-sim-sim,385,345,"Only in the right scenes, exists: ( objects that are 2)",1,1449519833268
_28285661f1e40490,1,60,9,100,155,2500,pbp02,fullblocked-sim-sim,198,90,"Only in the right scenes, exists: ( objects that are 2)",1,1449519833269
_28285661f1e40490,1,60,10,100,78,2500,pbp02,fullblocked-sim-sim,101,48,"Only in the left scenes, exists: ( objects that are 1)",1,1449519833270
_28285661f1e40490,1,60,11,100,183,2500,pbp02,fullblocked-sim-sim,219,512,"Only in the right scenes, exists: ( objects that are 2)",1,1449519833271
_28285661f1e40490,1,60,12,100,57,2500,pbp02,fullblocked-sim-sim,61,22,"Only in the right scenes, exists: ( objects that are 2)",1,1449519833272
_28285661f1e40490,1,60,13,100,585,2500,pbp02,fullblocked-sim-sim,627,1996,"Only in the right scenes, exists: ( objects that are 2)",1,1449519833275
_28285661f1e40490,1,60,16,100,151,2500,pbp02,fullblocked-sim-sim,169,123,"Only in the left scenes, exists: ( objects that are 1)",1,1449519833279
_28285661f1e40490,1,60,14,100,510,2500,pbp02,fullblocked-sim-sim,532,2457,"Only in the right scenes, exists: ( objects that are 2)",1,1449519833278
_28285661f1e40490,1,60,18,100,142,2500,pbp02,fullblocked-sim-sim,179,137,"Only in the left scenes, exists: ( objects that are 1)",1,1449519833277
_28285661f1e40490,1,60,17,100,266,2500,pbp02,fullblocked-sim-sim,316,645,"Only in the left scenes, exists: ( objects that are 1)",1,1449519833289
_28285661f1e40490,1,60,19,100,510,2500,pbp02,fullblocked-sim-sim,550,2307,"Only in the left scenes, exists: ( objects that are 1)",1,1449519833290
_28285661f1e40490,1,60,15,100,187,2500,pbp02,fullblocked-sim-sim,232,524,"Only in the left scenes, exists: ( objects that are 1)",1,1449519833292
_28285661f1e40490,1,60,20,100,201,2500,pbp02,fullblocked-sim-sim,240,268,"Only in the left scenes, exists: ( objects that are 1)",1,1449519833294
_28285661f1e40490,1,60,21,100,180,2500,pbp02,fullblocked-sim-sim,216,311,"Only in the right scenes, exists: ( objects that are 2)",1,1449519833296
_28285661f1e40490,1,60,22,100,295,2500,pbp02,fullblocked-sim-sim,330,326,"Only in the left scenes, exists: ( objects that are 1)",1,1449519833298
_28285661f1e40490,1,60,25,100,290,2500,pbp02,fullblocked-sim-sim,316,830,"Only in the right scenes, exists: ( objects that are 2)",1,1449519833301
_28285661f1e40490,1,60,23,100,169,2500,pbp02,fullblocked-sim-sim,223,207,"Only in the left scenes, exists: ( objects that are 1)",1,1449519833302
_28285661f1e40490,1,60,24,100,318,2500,pbp02,fullblocked-sim-sim,351,667,"Only in the right scenes, exists: ( objects that are 2)",1,1449519833303
_28285661f1e40490,2,60,1,100,179,2500,pbp02,fullblocked-sim-dis,236,297,"Only in the right scenes, exists: ( objects that are 2)",1,1449519921332
_28285661f1e40490,2,60,2,100,193,2500,pbp02,fullblocked-sim-dis,257,193,"Only in the right scenes, exists: ( objects that are 2)",1,1449519921333
_28285661f1e40490,2,60,7,100,462,2500,pbp02,fullblocked-sim-dis,574,1063,"Only in the right scenes, exists: ( objects that are 2)",1,1449519921439
_28285661f1e40490,2,60,3,100,107,2500,pbp02,fullblocked-sim-dis,116,116,"Only in the left scenes, exists: ( objects that are 1)",1,1449519921334
_28285661f1e40490,2,60,5,100,134,2500,pbp02,fullblocked-sim-dis,173,184,"Only in the right scenes, exists: ( objects that are 2)",1,1449519921337
_28285661f1e40490,2,60,6,100,173,2500,pbp02,fullblocked-sim-dis,203,325,"Only in the left scenes, exists: ( objects that are 1)",1,1449519921339
_28285661f1e40490,2,60,4,100,152,2500,pbp02,fullblocked-sim-dis,181,142,"Only in the right scenes, exists: ( objects that are 2)",1,1449519921336
_28285661f1e40490,2,60,8,100,369,2500,pbp02,fullblocked-sim-dis,449,850,"Only in the right scenes, exists: ( objects that are 2)",1,1449519921453
_28285661f1e40490,2,60,9,100,114,2500,pbp02,fullblocked-sim-dis,126,48,"Only in the left scenes, exists: ( objects that are 1)",1,1449519921454
_28285661f1e40490,2,60,10,100,189,2500,pbp02,fullblocked-sim-dis,246,318,"Only in the left scenes, exists: ( objects that are 1)",1,1449519921456
_28285661f1e40490,2,60,11,100,750,2500,pbp02,fullblocked-sim-dis,739,3336,"Only in the right scenes, exists: ( objects that are 2)",1,1449519921459
_28285661f1e40490,2,60,12,100,130,2500,pbp02,fullblocked-sim-dis,167,116,"Only in the left scenes, exists: ( objects that are 1)",1,1449519921461
_28285661f1e40490,2,60,13,100,365,2500,pbp02,fullblocked-sim-dis,463,1013,"Only in the left scenes, exists: ( objects that are 1)",1,1449519921463
_28285661f1e40490,2,60,14,100,255,2500,pbp02,fullblocked-sim-dis,330,769,"Only in the right scenes, exists: ( objects that are 2)",1,1449519921465
_28285661f1e40490,2,60,15,100,344,2500,pbp02,fullblocked-sim-dis,431,1045,"Only in the left scenes, exists: ( objects that are 1)",1,1449519921467
_28285661f1e40490,2,60,16,100,246,2500,pbp02,fullblocked-sim-dis,301,638,"Only in the right scenes, exists: ( objects that are 2)",1,1449519921469
_28285661f1e40490,2,60,17,100,134,2500,pbp02,fullblocked-sim-dis,176,86,"Only in the right scenes, exists: ( objects that are 2)",1,1449519921472
_28285661f1e40490,2,60,18,100,157,2500,pbp02,fullblocked-sim-dis,191,218,"Only in the right scenes, exists: ( objects that are 2)",1,1449519921479
_28285661f1e40490,2,60,19,100,126,2500,pbp02,fullblocked-sim-dis,157,143,"Only in the left scenes, exists: ( objects that are 1)",1,1449519921482
_28285661f1e40490,2,60,20,100,339,2500,pbp02,fullblocked-sim-dis,395,1437,"Only in the left scenes, exists: ( objects that are 1)",1,1449519921483
_28285661f1e40490,2,60,21,100,234,2500,pbp02,fullblocked-sim-dis,245,638,"Only in the right scenes, exists: ( objects that are 2)",1,1449519921485
_28285661f1e40490,2,60,22,100,416,2500,pbp02,fullblocked-sim-dis,449,696,"Only in the right scenes, exists: ( objects that are 2)",1,1449519921486
_28285661f1e40490,2,60,23,100,224,2500,pbp02,fullblocked-sim-dis,299,345,"Only in the left scenes, exists: ( objects that are 1)",1,1449519921489
_28285661f1e40490,2,60,24,100,225,2500,pbp02,fullblocked-sim-dis,274,142,"Only in the right scenes, exists: ( objects that are 2)",1,1449519921491
_28285661f1e40490,2,60,25,100,247,2500,pbp02,fullblocked-sim-dis,331,525,"Only in the left scenes, exists: ( objects that are 1)",1,1449519921493
_28285661f1e40490,3,60,1,100,119,2500,pbp02,fullblocked-dis-sim,178,156,"Only in the right scenes, exists: ( objects that are 2)",1,1449519996346
_28285661f1e40490,3,60,2,100,114,2500,pbp02,fullblocked-dis-sim,119,89,"Only in the left scenes, exists: ( objects that are 1)",1,1449519996347
_28285661f1e40490,3,60,3,100,81,2500,pbp02,fullblocked-dis-sim,101,35,"Only in the right scenes, exists: ( objects that are 2)",1,1449519996348
_28285661f1e40490,3,60,4,100,158,2500,pbp02,fullblocked-dis-sim,175,98,"Only in the right scenes, exists: ( objects that are 2)",1,1449519996348
_28285661f1e40490,3,60,5,100,185,2500,pbp02,fullblocked-dis-sim,217,447,"Only in the right scenes, exists: ( objects that are 2)",1,1449519996349
_28285661f1e40490,3,60,6,100,132,2500,pbp02,fullblocked-dis-sim,226,130,"Only in the right scenes, exists: ( objects that are 2)",1,1449519996350
_28285661f1e40490,3,60,7,100,223,2500,pbp02,fullblocked-dis-sim,233,207,"Only in the right scenes, exists: ( objects that are 2)",1,1449519996353
_28285661f1e40490,3,60,8,100,174,2500,pbp02,fullblocked-dis-sim,184,234,"Only in the right scenes, exists: ( objects that are 2)",1,1449519996354
