test_id,trial_curr,trial_total,rep,reps,steps,steps_max,pbp,pres_mode,perception_count,retrieval_count,sol,solved,timestamp
"_6713a53b5fe5a1d0",1,112,1,25,107,2500,"pbp02","interleaved-sim-sim",106,88,"Only in the left scenes, exists: ( objects that are 1)",true,2015-07-05T14:22:10.065Z
"_6713a53b5fe5a1d0",1,112,2,25,451,2500,"pbp02","interleaved-sim-sim",405,1349,"Only in the right scenes, exists: ( objects that are 2)",true,2015-07-05T14:22:10.066Z
"_6713a53b5fe5a1d0",1,112,3,25,265,2500,"pbp02","interleaved-sim-sim",231,304,"Only in the left scenes, exists: ( objects that are 1)",true,2015-07-05T14:22:10.067Z
"_6713a53b5fe5a1d0",1,112,4,25,450,2500,"pbp02","interleaved-sim-sim",436,1266,"Only in the right scenes, exists: ( objects that are 2)",true,2015-07-05T14:22:10.068Z
"_6713a53b5fe5a1d0",1,112,5,25,368,2500,"pbp02","interleaved-sim-sim",295,908,"Only in the left scenes, exists: ( objects that are 1)",true,2015-07-05T14:22:10.069Z
"_6713a53b5fe5a1d0",1,112,6,25,170,2500,"pbp02","interleaved-sim-sim",156,224,"Only in the left scenes, exists: ( objects that are 1)",true,2015-07-05T14:22:10.070Z
"_6713a53b5fe5a1d0",1,112,7,25,188,2500,"pbp02","interleaved-sim-sim",188,88,"Only in the left scenes, exists: ( objects that are 1)",true,2015-07-05T14:22:10.093Z
"_6713a53b5fe5a1d0",1,112,8,25,70,2500,"pbp02","interleaved-sim-sim",65,12,"Only in the left scenes, exists: ( objects that are 1)",true,2015-07-05T14:22:10.095Z
"_6713a53b5fe5a1d0",1,112,9,25,66,2500,"pbp02","interleaved-sim-sim",58,28,"Only in the right scenes, exists: ( objects that are 2)",true,2015-07-05T14:22:10.096Z
"_6713a53b5fe5a1d0",1,112,10,25,292,2500,"pbp02","interleaved-sim-sim",247,320,"Only in the right scenes, exists: ( objects that are 2)",true,2015-07-05T14:22:10.097Z
"_6713a53b5fe5a1d0",1,112,11,25,513,2500,"pbp02","interleaved-sim-sim",459,840,"Only in the left scenes, exists: ( objects that are 1)",true,2015-07-05T14:22:10.099Z
"_6713a53b5fe5a1d0",1,112,12,25,237,2500,"pbp02","interleaved-sim-sim",185,629,"Only in the left scenes, exists: ( objects that are 1)",true,2015-07-05T14:22:10.100Z
"_6713a53b5fe5a1d0",1,112,13,25,232,2500,"pbp02","interleaved-sim-sim",222,348,"Only in the left scenes, exists: ( objects that are 1)",true,2015-07-05T14:22:10.103Z
"_6713a53b5fe5a1d0",1,112,14,25,158,2500,"pbp02","interleaved-sim-sim",140,70,"Only in the left scenes, exists: ( objects that are 1)",true,2015-07-05T14:22:10.105Z
"_6713a53b5fe5a1d0",1,112,15,25,326,2500,"pbp02","interleaved-sim-sim",274,405,"Only in the right scenes, exists: ( objects that are 2)",true,2015-07-05T14:22:10.106Z
"_6713a53b5fe5a1d0",1,112,16,25,94,2500,"pbp02","interleaved-sim-sim",109,34,"Only in the left scenes, exists: ( objects that are 1)",true,2015-07-05T14:22:10.107Z
"_6713a53b5fe5a1d0",1,112,17,25,163,2500,"pbp02","interleaved-sim-sim",145,55,"Only in the right scenes, exists: ( objects that are 2)",true,2015-07-05T14:22:10.108Z
"_6713a53b5fe5a1d0",1,112,18,25,125,2500,"pbp02","interleaved-sim-sim",120,171,"Only in the left scenes, exists: ( objects that are 1)",true,2015-07-05T14:22:10.109Z
"_6713a53b5fe5a1d0",1,112,19,25,122,2500,"pbp02","interleaved-sim-sim",133,71,"Only in the left scenes, exists: ( objects that are 1)",true,2015-07-05T14:22:10.113Z
"_6713a53b5fe5a1d0",1,112,20,25,144,2500,"pbp02","interleaved-sim-sim",122,143,"Only in the left scenes, exists: ( objects that are 1)",true,2015-07-05T14:22:10.114Z
"_6713a53b5fe5a1d0",1,112,21,25,378,2500,"pbp02","interleaved-sim-sim",289,717,"Only in the left scenes, exists: ( objects that are 1)",true,2015-07-05T14:22:10.120Z
"_6713a53b5fe5a1d0",1,112,22,25,179,2500,"pbp02","interleaved-sim-sim",144,560,"Only in the left scenes, exists: ( objects that are 1)",true,2015-07-05T14:22:10.123Z
"_6713a53b5fe5a1d0",1,112,23,25,249,2500,"pbp02","interleaved-sim-sim",232,263,"Only in the right scenes, exists: ( objects that are 2)",true,2015-07-05T14:22:10.126Z
"_6713a53b5fe5a1d0",1,112,24,25,393,2500,"pbp02","interleaved-sim-sim",386,859,"Only in the left scenes, exists: ( objects that are 1)",true,2015-07-05T14:22:10.127Z
"_6713a53b5fe5a1d0",1,112,25,25,416,2500,"pbp02","interleaved-sim-sim",331,1783,"Only in the right scenes, exists: ( objects that are 2)",true,2015-07-05T14:22:10.129Z
"_6713a53b5fe5a1d0",2,112,1,25,595,2500,"pbp02","interleaved-sim-dis",500,2184,"Only in the left scenes, exists: ( objects that are 1)",true,2015-07-05T14:23:35.600Z
"_6713a53b5fe5a1d0",2,112,2,25,142,2500,"pbp02","interleaved-sim-dis",125,349,"Only in the left scenes, exists: ( objects that are 1)",true,2015-07-05T14:23:35.601Z
"_6713a53b5fe5a1d0",2,112,3,25,97,2500,"pbp02","interleaved-sim-dis",78,25,"Only in the left scenes, exists: ( objects that are 1)",true,2015-07-05T14:23:35.601Z
"_6713a53b5fe5a1d0",2,112,4,25,147,2500,"pbp02","interleaved-sim-dis",128,123,"Only in the right scenes, exists: ( objects that are 2)",true,2015-07-05T14:23:35.602Z
"_6713a53b5fe5a1d0",2,112,5,25,327,2500,"pbp02","interleaved-sim-dis",281,1130,"Only in the left scenes, exists: ( objects that are 1)",true,2015-07-05T14:23:35.603Z
"_6713a53b5fe5a1d0",2,112,6,25,51,2500,"pbp02","interleaved-sim-dis",43,13,"Only in the left scenes, exists: ( objects that are 1)",true,2015-07-05T14:23:35.604Z
"_6713a53b5fe5a1d0",2,112,7,25,117,2500,"pbp02","interleaved-sim-dis",122,60,"Only in the left scenes, exists: ( objects that are 1)",true,2015-07-05T14:23:35.607Z
"_6713a53b5fe5a1d0",2,112,8,25,682,2500,"pbp02","interleaved-sim-dis",601,2655,"Only in the left scenes, exists: ( objects that are 1)",true,2015-07-05T14:23:35.607Z
"_6713a53b5fe5a1d0",2,112,9,25,149,2500,"pbp02","interleaved-sim-dis",134,248,"Only in the left scenes, exists: ( objects that are 1)",true,2015-07-05T14:23:35.608Z
"_6713a53b5fe5a1d0",2,112,10,25,107,2500,"pbp02","interleaved-sim-dis",77,130,"Only in the left scenes, exists: ( objects that are 1)",true,2015-07-05T14:23:35.609Z
"_6713a53b5fe5a1d0",2,112,11,25,371,2500,"pbp02","interleaved-sim-dis",300,549,"Only in the left scenes, exists: ( objects that are 1)",true,2015-07-05T14:23:35.610Z
"_6713a53b5fe5a1d0",2,112,12,25,144,2500,"pbp02","interleaved-sim-dis",137,164,"Only in the left scenes, exists: ( objects that are 1)",true,2015-07-05T14:23:35.610Z
"_6713a53b5fe5a1d0",2,112,13,25,58,2500,"pbp02","interleaved-sim-dis",61,12,"Only in the left scenes, exists: ( objects that are 1)",true,2015-07-05T14:23:35.613Z
"_6713a53b5fe5a1d0",2,112,14,25,291,2500,"pbp02","interleaved-sim-dis",313,452,"Only in the right scenes, exists: ( objects that are 2)",true,2015-07-05T14:23:35.613Z
"_6713a53b5fe5a1d0",2,112,15,25,223,2500,"pbp02","interleaved-sim-dis",223,165,"Only in the right scenes, exists: ( objects that are 2)",true,2015-07-05T14:23:35.614Z
"_6713a53b5fe5a1d0",2,112,16,25,146,2500,"pbp02","interleaved-sim-dis",160,284,"Only in the left scenes, exists: ( objects that are 1)",true,2015-07-05T14:23:35.615Z
"_6713a53b5fe5a1d0",2,112,17,25,115,2500,"pbp02","interleaved-sim-dis",88,81,"Only in the left scenes, exists: ( objects that are 1)",true,2015-07-05T14:23:35.616Z
"_6713a53b5fe5a1d0",2,112,18,25,70,2500,"pbp02","interleaved-sim-dis",62,17,"Only in the left scenes, exists: ( objects that are 1)",true,2015-07-05T14:23:35.616Z
"_6713a53b5fe5a1d0",2,112,19,25,255,2500,"pbp02","interleaved-sim-dis",231,873,"Only in the left scenes, exists: ( objects that are 1)",true,2015-07-05T14:23:35.628Z
"_6713a53b5fe5a1d0",2,112,20,25,69,2500,"pbp02","interleaved-sim-dis",57,14,"Only in the right scenes, exists: ( objects that are 2)",true,2015-07-05T14:23:35.629Z
"_6713a53b5fe5a1d0",2,112,21,25,293,2500,"pbp02","interleaved-sim-dis",229,170,"Only in the right scenes, exists: ( objects that are 2)",true,2015-07-05T14:23:35.629Z
"_6713a53b5fe5a1d0",2,112,22,25,260,2500,"pbp02","interleaved-sim-dis",219,551,"Only in the left scenes, exists: ( objects that are 1)",true,2015-07-05T14:23:35.630Z
"_6713a53b5fe5a1d0",2,112,23,25,307,2500,"pbp02","interleaved-sim-dis",294,473,"Only in the left scenes, exists: ( objects that are 1)",true,2015-07-05T14:23:35.631Z
"_6713a53b5fe5a1d0",2,112,24,25,1000,2500,"pbp02","interleaved-sim-dis",758,6055,"Only in the left scenes, exists: ( objects that are 1)",true,2015-07-05T14:23:35.632Z
"_6713a53b5fe5a1d0",2,112,25,25,80,2500,"pbp02","interleaved-sim-dis",84,50,"Only in the left scenes, exists: ( objects that are 1)",true,2015-07-05T14:23:35.634Z
"_6713a53b5fe5a1d0",3,112,1,25,135,2500,"pbp02","interleaved-dis-sim",153,64,"Only in the left scenes, exists: ( objects that are 1)",true,2015-07-05T14:25:00.378Z
"_6713a53b5fe5a1d0",3,112,2,25,216,2500,"pbp02","interleaved-dis-sim",222,440,"Only in the right scenes, exists: ( objects that are 2)",true,2015-07-05T14:25:00.379Z
"_6713a53b5fe5a1d0",3,112,3,25,613,2500,"pbp02","interleaved-dis-sim",549,2248,"Only in the left scenes, exists: ( objects that are 1)",true,2015-07-05T14:25:00.380Z
"_6713a53b5fe5a1d0",3,112,4,25,304,2500,"pbp02","interleaved-dis-sim",321,794,"Only in the right scenes, exists: ( objects that are 2)",true,2015-07-05T14:25:00.381Z
"_6713a53b5fe5a1d0",3,112,5,25,222,2500,"pbp02","interleaved-dis-sim",172,149,"Only in the left scenes, exists: ( objects that are 1)",true,2015-07-05T14:25:00.381Z
"_6713a53b5fe5a1d0",3,112,6,25,289,2500,"pbp02","interleaved-dis-sim",308,411,"Only in the right scenes, exists: ( objects that are 2)",true,2015-07-05T14:25:00.382Z
"_6713a53b5fe5a1d0",3,112,7,25,136,2500,"pbp02","interleaved-dis-sim",145,106,"Only in the right scenes, exists: ( objects that are 2)",true,2015-07-05T14:25:00.385Z
"_6713a53b5fe5a1d0",3,112,8,25,141,2500,"pbp02","interleaved-dis-sim",140,182,"Only in the left scenes, exists: ( objects that are 1)",true,2015-07-05T14:25:00.385Z
"_6713a53b5fe5a1d0",3,112,9,25,154,2500,"pbp02","interleaved-dis-sim",179,258,"Only in the left scenes, exists: ( objects that are 1)",true,2015-07-05T14:25:00.386Z
"_6713a53b5fe5a1d0",3,112,10,25,140,2500,"pbp02","interleaved-dis-sim",147,197,"Only in the left scenes, exists: ( objects that are 1)",true,2015-07-05T14:25:00.387Z
"_6713a53b5fe5a1d0",3,112,11,25,105,2500,"pbp02","interleaved-dis-sim",120,36,"Only in the left scenes, exists: ( objects that are 1)",true,2015-07-05T14:25:00.388Z
"_6713a53b5fe5a1d0",3,112,12,25,53,2500,"pbp02","interleaved-dis-sim",50,8,"Only in the left scenes, exists: ( objects that are 1)",true,2015-07-05T14:25:00.388Z
"_6713a53b5fe5a1d0",3,112,13,25,115,2500,"pbp02","interleaved-dis-sim",111,36,"Only in the left scenes, exists: ( objects that are 1)",true,2015-07-05T14:25:00.391Z
"_6713a53b5fe5a1d0",3,112,14,25,134,2500,"pbp02","interleaved-dis-sim",153,46,"Only in the left scenes, exists: ( objects that are 1)",true,2015-07-05T14:25:00.391Z
